cd_org,lb_org,adresse,adresse_complement,lb_cmne,code_postal,lb_type_association,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
PDL0049088,PONTS DE CE BASKET,RUE DE LA MAIRIE,COMPLEXE FRANCOIS BERNARD,PONTS-DE-CE,49130,Club ,,,,,,,,,,,,,,,,,,not-found
PDL0049091,POUEZE,RUE DE LA MAIRIE,,POUEZE,49370,Club ,-0.882382,47.522851,0.7315536363636364,0.6031882352941176,Rue de la Pouêze 49370 Val d'Erdre-Auxence,street,49183_0141,,Rue de la Pouêze,Rue de la Pouêze,49370,Val d'Erdre-Auxence,"49, Maine-et-Loire, Pays de la Loire",49183,49183,Le Louroux-Béconnais,,ok
PDL0049093,PUY SAINT BONNET BASKET,PUY ST BONNET,11 SQUARE DE MARIGNY,LE PUY-SAINT-BONNET,49300,Club ,-0.900016,46.994584,0.5957266325224071,,11 Sq a de Bernard de Marigny 49300 Cholet,housenumber,49099_a9tsb4_00011,11,11 Sq a de Bernard de Marigny,Sq a de Bernard de Marigny,49300,Cholet,"49, Maine-et-Loire, Pays de la Loire",49099,79224,Le Puy-Saint-Bonnet,,ok
PDL0049095,ETOILE ANGERS BASKET,330 rue Saint Léonard,,ANGERS,49000,Club ,-0.522952,47.459721,0.9297604278074866,,330 Rue Saint-Léonard 49000 Angers,housenumber,49007_7270_00330,330,330 Rue Saint-Léonard,Rue Saint-Léonard,49000,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
PDL0049096,ROUSSAY VILLEDIEU,15 RUE DE LA FONTAINE,MAIRIE ANNEXE,ROUSSAY,49450,Club ,-1.065455,47.091927,0.6989575757575758,0.5854418181818181,15 Rue de la Fontaine (Roussay) 49450 Sèvremoine,housenumber,49301_1708_00015,15,15 Rue de la Fontaine (Roussay),Rue de la Fontaine (Roussay),49450,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49263,Roussay,,ok
PDL0049097,SAINT CHRISTOPHE DU BOIS,31 RUE MARECHAL LECLERC,,SAINT-CHRISTOPHE-DU-BOIS,49280,Club ,-0.947473,47.026391,0.8780779106858053,,31 Rue du Maréchal Leclerc 49280 Saint-Christophe-du-Bois,housenumber,49269_0060_00031,31,31 Rue du Maréchal Leclerc,Rue du Maréchal Leclerc,49280,Saint-Christophe-du-Bois,"49, Maine-et-Loire, Pays de la Loire",49269,,,,ok
PDL0049100,SAINTE GEMMES D'ANDIGNE,SAINTE GEMMES D'ANDIGNE,SAINTE GEMMES D'ANDIGNE,SEGRE-EN-ANJOU-BLEU,49500,Club ,-0.887406,47.671703,0.7069456643356642,0.6967119955654101,La Bleurie (Sainte-Gemmes-d'Andigné) 49500 Segré-en-Anjou Bleu,locality,49331_s1kxbb,,La Bleurie (Sainte-Gemmes-d'Andigné),,49500,Segré-en-Anjou Bleu,"49, Maine-et-Loire, Pays de la Loire",49331,49277,Sainte-Gemmes-d'Andigné,,ok
PDL0049104,VIHIERS BASKET,VIHIERS,,LYS-HAUT-LAYON,49310,Club ,-0.534645,47.146308,0.5408645887445888,0.5365355844155844,Rue David d’Angers 49310 Lys-Haut-Layon,street,49373_0600,,Rue David d’Angers,Rue David d’Angers,49310,Lys-Haut-Layon,"49, Maine-et-Loire, Pays de la Loire",49373,49373,Vihiers,,ok
PDL0049108,SAINT LAURENT DE LA PLAINE,CITE DE L'AVENEAU,,SAINT-LAURENT-DE-LA-PLAINE,49290,Club ,-0.806641,47.317179,0.8349291800356505,,Cité de l'Aveneau 49290 Mauges-sur-Loire,street,49244_A119,,Cité de l'Aveneau,Cité de l'Aveneau,49290,Mauges-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49244,49295,St Laurent-de-la-Plaine,,ok
PDL0049109,LAYON BASKET CLUB,place de la mairie,MAIRIE DE THOUARCE,BELLEVIGNE EN LAYON,49380,Club ,-0.50313,47.267025,0.6486969696969697,,Place de la Mairie 49380 Bellevigne-en-Layon,street,49345_0120,,Place de la Mairie,Place de la Mairie,49380,Bellevigne-en-Layon,"49, Maine-et-Loire, Pays de la Loire",49345,49345,Thouarcé,,ok
